Data stats. Training 0.7 , Validation 0.15 , Testing 0.15000000000000002 

Random SEED:  50129
D:\PKLot/PKLot/PKLotSegmented/PUCPR/*/*/Empty/*.jpg. #files: 229994
D:\PKLot/PKLot/PKLotSegmented/PUCPR/*/*/Occupied/*.jpg. #files: 194229
D:\PKLot/PKLot/PKLotSegmented/UFPR04/*/*/Empty/*.jpg. #files: 59718
D:\PKLot/PKLot/PKLotSegmented/UFPR04/*/*/Occupied/*.jpg. #files: 46125
D:\PKLot/PKLot/PKLotSegmented/UFPR05/*/*/Empty/*.jpg. #files: 68359
D:\PKLot/PKLot/PKLotSegmented/UFPR05/*/*/Occupied/*.jpg. #files: 97426
Total Images 695851
---------------------------------------------------
DataSet -> Training
Number of images-> 487093
Batch size-> 256
Image size-> 64

	ImageSet -> Empty spots
	Number of images-> 250648
	Batch size-> 128
	Image size-> 64


	ImageSet -> Occupied spots
	Number of images-> 236445
	Batch size-> 128
	Image size-> 64

---------------------------------------------------
---------------------------------------------------
DataSet -> Validation
Number of images-> 104378
Batch size-> 3000
Image size-> 64

	ImageSet -> Empty spots
	Number of images-> 53711
	Batch size-> 1500
	Image size-> 64


	ImageSet -> Occupied spots
	Number of images-> 50667
	Batch size-> 1500
	Image size-> 64

---------------------------------------------------
---------------------------------------------------
DataSet -> Testing
Number of images-> 104380
Batch size-> 4000
Image size-> 64

	ImageSet -> Empty spots
	Number of images-> 53712
	Batch size-> 2000
	Image size-> 64


	ImageSet -> Occupied spots
	Number of images-> 50668
	Batch size-> 2000
	Image size-> 64

---------------------------------------------------
EPOCHS:  20
TRAIN_BATCHES_PER_EPOCH:  1902 

Epoch 0
	Batch 0, Validation accuracy 0.475667
	Batch 200, Validation accuracy 0.998667
	Batch 250, Validation accuracy 0.997667
	Batch 300, Validation accuracy 0.998667
	Batch 350, Validation accuracy 0.997333
	Batch 400, Validation accuracy 0.994667
	Batch 450, Validation accuracy 0.998667
	Batch 500, Validation accuracy 0.998333
	Batch 550, Validation accuracy 0.995333
	Batch 600, Validation accuracy 0.999
	Batch 650, Validation accuracy 0.996
	Batch 700, Validation accuracy 0.988667
	Batch 750, Validation accuracy 0.988667
	Batch 800, Validation accuracy 0.982333
	Batch 850, Validation accuracy 0.991
	Batch 900, Validation accuracy 0.989667
	Batch 950, Validation accuracy 0.984
	Batch 1000, Validation accuracy 0.977333
	Batch 1050, Validation accuracy 0.964
	Batch 1100, Validation accuracy 0.793667
	Batch 1150, Validation accuracy 0.594667
	Batch 1200, Validation accuracy 0.914667
	Batch 1250, Validation accuracy 0.705333
	Batch 1300, Validation accuracy 0.957333
	Batch 1350, Validation accuracy 0.617333
	Batch 1400, Validation accuracy 0.773903
	Batch 1450, Validation accuracy 0.766333
	Batch 1500, Validation accuracy 0.758
	Batch 1550, Validation accuracy 0.64
	Batch 1600, Validation accuracy 0.751383
	Batch 1650, Validation accuracy 0.810667
	Batch 1700, Validation accuracy 0.9
	Batch 1750, Validation accuracy 0.911333
	Batch 1800, Validation accuracy 0.702
	Batch 1850, Validation accuracy 0.577
	Batch 1900, Validation accuracy 0.842667
Epoch 2
	Batch 0, Validation accuracy 0.830667
	Batch 50, Validation accuracy 0.895667
	Batch 100, Validation accuracy 0.781
	Batch 150, Validation accuracy 0.990333
	Batch 200, Validation accuracy 0.996667
	Batch 250, Validation accuracy 0.998667
	Batch 300, Validation accuracy 0.997333
	Batch 350, Validation accuracy 0.998667
	Batch 400, Validation accuracy 0.999333
	Batch 450, Validation accuracy 0.988
	Batch 500, Validation accuracy 0.965333
	Batch 550, Validation accuracy 0.990667
	Batch 600, Validation accuracy 0.990333
	Batch 650, Validation accuracy 0.991333
	Batch 700, Validation accuracy 0.989333
	Batch 750, Validation accuracy 0.987333
	Batch 800, Validation accuracy 0.970333
	Batch 850, Validation accuracy 0.978333
	Batch 900, Validation accuracy 0.98
	Batch 950, Validation accuracy 0.974
	Batch 1000, Validation accuracy 0.986
	Batch 1050, Validation accuracy 0.552333
	Batch 1100, Validation accuracy 0.580667
	Batch 1150, Validation accuracy 0.939258
	Batch 1200, Validation accuracy 0.954333
	Batch 1250, Validation accuracy 0.901333
	Batch 1300, Validation accuracy 0.823
	Batch 1350, Validation accuracy 0.879667
	Batch 1400, Validation accuracy 0.826
	Batch 1450, Validation accuracy 0.737735
	Batch 1500, Validation accuracy 0.911333
	Batch 1550, Validation accuracy 0.930333
	Batch 1600, Validation accuracy 0.938
	Batch 1650, Validation accuracy 0.924
	Batch 1700, Validation accuracy 0.943667
	Batch 1750, Validation accuracy 0.781667
	Batch 1800, Validation accuracy 0.585
	Batch 1850, Validation accuracy 0.802
	Batch 1900, Validation accuracy 0.845333
Epoch 3
	Batch 0, Validation accuracy 0.853
	Batch 50, Validation accuracy 0.662333
	Batch 100, Validation accuracy 0.742333
	Batch 150, Validation accuracy 0.849667
	Batch 200, Validation accuracy 0.831333
	Batch 250, Validation accuracy 0.975333
	Batch 300, Validation accuracy 0.979333
	Batch 350, Validation accuracy 0.985333
	Batch 400, Validation accuracy 0.974333
	Batch 450, Validation accuracy 0.990333
	Batch 500, Validation accuracy 0.990333
	Batch 550, Validation accuracy 0.991333
	Batch 600, Validation accuracy 0.990667
	Batch 650, Validation accuracy 0.985667
	Batch 700, Validation accuracy 0.972
	Batch 750, Validation accuracy 0.983667
	Batch 800, Validation accuracy 0.957667
	Batch 850, Validation accuracy 0.976
	Batch 900, Validation accuracy 0.982752
	Batch 950, Validation accuracy 0.857
	Batch 1000, Validation accuracy 0.951
	Batch 1050, Validation accuracy 0.888
	Batch 1100, Validation accuracy 0.966333
	Batch 1150, Validation accuracy 0.959333
	Batch 1200, Validation accuracy 0.818333
	Batch 1250, Validation accuracy 0.867667
	Batch 1300, Validation accuracy 0.839911
	Batch 1350, Validation accuracy 0.866667
	Batch 1400, Validation accuracy 0.929667
	Batch 1450, Validation accuracy 0.882667
	Batch 1500, Validation accuracy 0.888333
	Batch 1550, Validation accuracy 0.859333
	Batch 1600, Validation accuracy 0.848667
	Batch 1650, Validation accuracy 0.874333
	Batch 1700, Validation accuracy 0.925333
	Batch 1750, Validation accuracy 0.942667
	Batch 1800, Validation accuracy 0.840333
	Batch 1850, Validation accuracy 0.933333
	Batch 1900, Validation accuracy 0.672333
Epoch 4
	Batch 0, Validation accuracy 0.659667
	Batch 50, Validation accuracy 0.655333
	Batch 100, Validation accuracy 0.854667
	Batch 150, Validation accuracy 0.809333
	Batch 200, Validation accuracy 0.639
	Batch 250, Validation accuracy 0.982333
	Batch 300, Validation accuracy 0.980667
	Batch 350, Validation accuracy 0.988667
	Batch 400, Validation accuracy 0.981
	Batch 450, Validation accuracy 0.983333
	Batch 500, Validation accuracy 0.987
	Batch 550, Validation accuracy 0.984
	Batch 600, Validation accuracy 0.960667
	Batch 650, Validation accuracy 0.96063
	Batch 700, Validation accuracy 0.997333
	Batch 750, Validation accuracy 0.997333
	Batch 800, Validation accuracy 0.999333
	Batch 850, Validation accuracy 0.990333
	Batch 900, Validation accuracy 0.976667
	Batch 950, Validation accuracy 0.986333
	Batch 1000, Validation accuracy 0.867
	Batch 1050, Validation accuracy 0.925333
	Batch 1100, Validation accuracy 0.945
	Batch 1150, Validation accuracy 0.822944
	Batch 1200, Validation accuracy 0.914
	Batch 1250, Validation accuracy 0.892667
	Batch 1300, Validation accuracy 0.959667
	Batch 1350, Validation accuracy 0.919333
	Batch 1400, Validation accuracy 0.887333
	Batch 1450, Validation accuracy 0.903333
	Batch 1500, Validation accuracy 0.887
	Batch 1550, Validation accuracy 0.866
	Batch 1600, Validation accuracy 0.843
	Batch 1650, Validation accuracy 0.594
	Batch 1700, Validation accuracy 0.666333
	Batch 1750, Validation accuracy 0.958333
	Batch 1800, Validation accuracy 0.931333
	Batch 1850, Validation accuracy 0.912667
	Batch 1900, Validation accuracy 0.687333
Epoch 5
	Batch 0, Validation accuracy 0.655667
	Batch 50, Validation accuracy 0.733667
	Batch 100, Validation accuracy 0.647667
	Batch 150, Validation accuracy 0.521667
	Batch 200, Validation accuracy 0.790667
	Batch 250, Validation accuracy 0.654667
	Batch 300, Validation accuracy 0.893667
	Batch 350, Validation accuracy 0.983333
	Batch 400, Validation accuracy 0.989501
	Batch 450, Validation accuracy 0.997
	Batch 500, Validation accuracy 0.997333
	Batch 550, Validation accuracy 0.999333
	Batch 600, Validation accuracy 0.999
	Batch 650, Validation accuracy 0.999
	Batch 700, Validation accuracy 0.995333
	Batch 750, Validation accuracy 0.997667
	Batch 800, Validation accuracy 0.998667
	Batch 850, Validation accuracy 0.988333
	Batch 900, Validation accuracy 0.975333
	Batch 950, Validation accuracy 0.973667
	Batch 1000, Validation accuracy 0.930653
	Batch 1050, Validation accuracy 0.989667
	Batch 1100, Validation accuracy 0.989333
	Batch 1150, Validation accuracy 0.967333
	Batch 1200, Validation accuracy 0.965667
	Batch 1250, Validation accuracy 0.977
	Batch 1300, Validation accuracy 0.959667
	Batch 1350, Validation accuracy 0.916
	Batch 1400, Validation accuracy 0.965667
	Batch 1450, Validation accuracy 0.986333
	Batch 1500, Validation accuracy 0.957667
	Batch 1550, Validation accuracy 0.965
	Batch 1600, Validation accuracy 0.506667
	Batch 1650, Validation accuracy 0.963333
	Batch 1700, Validation accuracy 0.990333
	Batch 1750, Validation accuracy 0.993
	Batch 1800, Validation accuracy 0.982333
	Batch 1850, Validation accuracy 0.947667
	Batch 1900, Validation accuracy 0.859667
Epoch 6
	Batch 0, Validation accuracy 0.842333
	Batch 50, Validation accuracy 0.652
	Batch 100, Validation accuracy 0.544
	Batch 150, Validation accuracy 0.686539
	Batch 200, Validation accuracy 0.690333
	Batch 250, Validation accuracy 0.970667
	Batch 300, Validation accuracy 0.972667
	Batch 350, Validation accuracy 0.989
	Batch 400, Validation accuracy 0.997
	Batch 450, Validation accuracy 0.997667
	Batch 500, Validation accuracy 0.997333
	Batch 550, Validation accuracy 0.995
	Batch 600, Validation accuracy 0.998333
	Batch 650, Validation accuracy 0.998333
	Batch 700, Validation accuracy 0.997667
	Batch 750, Validation accuracy 0.995
	Batch 800, Validation accuracy 0.967
	Batch 850, Validation accuracy 0.975286
	Batch 900, Validation accuracy 0.967333
	Batch 950, Validation accuracy 0.995
	Batch 1000, Validation accuracy 0.976333
	Batch 1050, Validation accuracy 0.978667
	Batch 1100, Validation accuracy 0.963667
	Batch 1150, Validation accuracy 0.962333
	Batch 1200, Validation accuracy 0.985333
	Batch 1250, Validation accuracy 0.985333
	Batch 1300, Validation accuracy 0.988667
	Batch 1350, Validation accuracy 0.971
	Batch 1400, Validation accuracy 0.999
	Batch 1450, Validation accuracy 1
	Batch 1500, Validation accuracy 1
	Batch 1550, Validation accuracy 0.974333
	Batch 1600, Validation accuracy 0.990667
	Batch 1650, Validation accuracy 0.994667
	Batch 1700, Validation accuracy 0.997333
	Batch 1750, Validation accuracy 0.995667
	Batch 1800, Validation accuracy 0.987
	Batch 1850, Validation accuracy 0.992501
	Batch 1900, Validation accuracy 0.943
Epoch 7
	Batch 0, Validation accuracy 0.944667
	Batch 50, Validation accuracy 0.873
	Batch 100, Validation accuracy 0.661
	Batch 150, Validation accuracy 0.906333
	Batch 200, Validation accuracy 0.979667
	Batch 250, Validation accuracy 0.969333
	Batch 300, Validation accuracy 0.880667
	Batch 350, Validation accuracy 0.803
	Batch 400, Validation accuracy 0.999667
	Batch 450, Validation accuracy 0.996
	Batch 500, Validation accuracy 0.998667
	Batch 550, Validation accuracy 0.998333
	Batch 600, Validation accuracy 0.996333
	Batch 650, Validation accuracy 0.998333
	Batch 700, Validation accuracy 0.993729
	Batch 750, Validation accuracy 0.996667
	Batch 800, Validation accuracy 0.995333
	Batch 850, Validation accuracy 0.995
	Batch 900, Validation accuracy 0.996667
	Batch 950, Validation accuracy 0.995667
	Batch 1000, Validation accuracy 0.998
	Batch 1050, Validation accuracy 0.985333
	Batch 1100, Validation accuracy 0.99
	Batch 1150, Validation accuracy 0.999667
	Batch 1200, Validation accuracy 1
	Batch 1250, Validation accuracy 1
	Batch 1300, Validation accuracy 0.999667
	Batch 1350, Validation accuracy 1
	Batch 1400, Validation accuracy 1
	Batch 1450, Validation accuracy 1
	Batch 1500, Validation accuracy 0.939
	Batch 1550, Validation accuracy 0.993667
	Batch 1600, Validation accuracy 0.998125
	Batch 1650, Validation accuracy 0.997333
	Batch 1700, Validation accuracy 0.991
	Batch 1750, Validation accuracy 0.959
	Batch 1800, Validation accuracy 0.936667
	Batch 1850, Validation accuracy 0.927667
	Batch 1900, Validation accuracy 0.999333
Epoch 8
	Batch 0, Validation accuracy 1
	Batch 50, Validation accuracy 0.999
	Batch 100, Validation accuracy 0.504
	Batch 150, Validation accuracy 0.887667
	Batch 200, Validation accuracy 0.677667
	Batch 250, Validation accuracy 0.998667
	Batch 300, Validation accuracy 0.999333
	Batch 350, Validation accuracy 0.999
	Batch 400, Validation accuracy 0.999333
	Batch 450, Validation accuracy 0.999
	Batch 500, Validation accuracy 0.975667
	Batch 550, Validation accuracy 0.998525
	Batch 600, Validation accuracy 0.998667
	Batch 650, Validation accuracy 0.997
	Batch 700, Validation accuracy 0.999667
	Batch 750, Validation accuracy 0.999
	Batch 800, Validation accuracy 0.999667
	Batch 850, Validation accuracy 0.998333
	Batch 900, Validation accuracy 0.995667
	Batch 950, Validation accuracy 0.999667
	Batch 1000, Validation accuracy 0.999667
	Batch 1050, Validation accuracy 1
	Batch 1100, Validation accuracy 1
	Batch 1150, Validation accuracy 0.999333
	Batch 1200, Validation accuracy 1
	Batch 1250, Validation accuracy 0.997667
	Batch 1300, Validation accuracy 1
	Batch 1350, Validation accuracy 0.999625
	Batch 1400, Validation accuracy 0.947
	Batch 1450, Validation accuracy 0.980333
	Batch 1500, Validation accuracy 0.99
	Batch 1550, Validation accuracy 0.997333
	Batch 1600, Validation accuracy 0.997667
	Batch 1650, Validation accuracy 0.997667
	Batch 1700, Validation accuracy 0.999
	Batch 1750, Validation accuracy 0.996333
	Batch 1800, Validation accuracy 0.997667
	Batch 1850, Validation accuracy 0.999
	Batch 1900, Validation accuracy 0.999
Epoch 9
	Batch 0, Validation accuracy 1
	Batch 50, Validation accuracy 0.999667
	Batch 100, Validation accuracy 0.973
	Batch 150, Validation accuracy 0.848
	Batch 200, Validation accuracy 0.994333
	Batch 250, Validation accuracy 0.997667
	Batch 300, Validation accuracy 0.999333
	Batch 350, Validation accuracy 0.999667
	Batch 400, Validation accuracy 0.990409
	Batch 450, Validation accuracy 0.944
	Batch 500, Validation accuracy 0.822667
	Batch 550, Validation accuracy 0.951667
	Batch 600, Validation accuracy 0.998333
	Batch 650, Validation accuracy 0.995
	Batch 700, Validation accuracy 0.992
	Batch 750, Validation accuracy 0.983333
	Batch 800, Validation accuracy 0.849667
	Batch 850, Validation accuracy 0.995667
	Batch 900, Validation accuracy 0.999
	Batch 950, Validation accuracy 0.999333
	Batch 1000, Validation accuracy 0.998667
	Batch 1050, Validation accuracy 1
	Batch 1100, Validation accuracy 0.9985
	Batch 1150, Validation accuracy 0.952
	Batch 1200, Validation accuracy 0.920333
	Batch 1250, Validation accuracy 0.908667
	Batch 1300, Validation accuracy 0.862667
	Batch 1350, Validation accuracy 0.876
	Batch 1400, Validation accuracy 0.981667
	Batch 1450, Validation accuracy 0.998
	Batch 1500, Validation accuracy 0.998
	Batch 1550, Validation accuracy 0.998333
	Batch 1600, Validation accuracy 0.999
	Batch 1650, Validation accuracy 0.995667
	Batch 1700, Validation accuracy 0.998333
	Batch 1750, Validation accuracy 0.993333
	Batch 1800, Validation accuracy 0.998667
	Batch 1850, Validation accuracy 0.996
	Batch 1900, Validation accuracy 0.925
Epoch 10
	Batch 0, Validation accuracy 0.935333
	Batch 50, Validation accuracy 0.951333
	Batch 100, Validation accuracy 0.951667
	Batch 150, Validation accuracy 0.924333
	Batch 200, Validation accuracy 0.945
	Batch 250, Validation accuracy 0.911103
	Batch 300, Validation accuracy 0.732667
	Batch 350, Validation accuracy 0.671333
	Batch 400, Validation accuracy 0.850667
	Batch 450, Validation accuracy 0.861
	Batch 500, Validation accuracy 0.797333
	Batch 550, Validation accuracy 0.755667
	Batch 600, Validation accuracy 0.994
	Batch 650, Validation accuracy 0.989333
	Batch 700, Validation accuracy 0.993
	Batch 750, Validation accuracy 0.987333
	Batch 800, Validation accuracy 0.999
	Batch 850, Validation accuracy 0.99925
	Batch 900, Validation accuracy 0.947333
	Batch 950, Validation accuracy 0.957667
	Batch 1000, Validation accuracy 0.974333
	Batch 1050, Validation accuracy 0.975333
	Batch 1100, Validation accuracy 0.958667
	Batch 1150, Validation accuracy 0.944333
	Batch 1200, Validation accuracy 0.946667
	Batch 1250, Validation accuracy 0.946
	Batch 1300, Validation accuracy 0.939
	Batch 1350, Validation accuracy 0.984333
	Batch 1400, Validation accuracy 0.992667
	Batch 1450, Validation accuracy 0.997333
	Batch 1500, Validation accuracy 0.993667
	Batch 1550, Validation accuracy 0.993333
	Batch 1600, Validation accuracy 0.997333
	Batch 1650, Validation accuracy 0.999
	Batch 1700, Validation accuracy 0.996667
	Batch 1750, Validation accuracy 0.99
	Batch 1800, Validation accuracy 0.992333
	Batch 1850, Validation accuracy 0.983667
	Batch 1900, Validation accuracy 0.972667
Epoch 11
	Batch 0, Validation accuracy 0.973
	Batch 50, Validation accuracy 0.941
	Batch 100, Validation accuracy 0.939875
	Batch 150, Validation accuracy 0.951667
	Batch 200, Validation accuracy 0.900667
	Batch 250, Validation accuracy 0.874
	Batch 300, Validation accuracy 0.822333
	Batch 350, Validation accuracy 0.596
	Batch 400, Validation accuracy 0.599
	Batch 450, Validation accuracy 0.806333
	Batch 500, Validation accuracy 0.680667
	Batch 550, Validation accuracy 0.864333
	Batch 600, Validation accuracy 0.851144
	Batch 650, Validation accuracy 0.970667
	Batch 700, Validation accuracy 0.985333
	Batch 750, Validation accuracy 0.972333
	Batch 800, Validation accuracy 0.992333
	Batch 850, Validation accuracy 0.986
	Batch 900, Validation accuracy 0.974
	Batch 950, Validation accuracy 0.979333
	Batch 1000, Validation accuracy 0.980333
	Batch 1050, Validation accuracy 0.960667
	Batch 1100, Validation accuracy 0.95
	Batch 1150, Validation accuracy 0.948333
	Batch 1200, Validation accuracy 0.938
	Batch 1250, Validation accuracy 0.946
	Batch 1300, Validation accuracy 0.982333
	Batch 1350, Validation accuracy 0.990333
	Batch 1400, Validation accuracy 0.953333
	Batch 1450, Validation accuracy 0.991
	Batch 1500, Validation accuracy 0.995333
	Batch 1550, Validation accuracy 0.975
	Batch 1600, Validation accuracy 0.986333
	Batch 1650, Validation accuracy 0.984
	Batch 1700, Validation accuracy 0.99
	Batch 1750, Validation accuracy 0.987
	Batch 1800, Validation accuracy 0.982
	Batch 1850, Validation accuracy 0.990333
	Batch 1900, Validation accuracy 0.989672
Epoch 12
	Batch 0, Validation accuracy 0.995667
	Batch 50, Validation accuracy 0.982667
	Batch 100, Validation accuracy 0.968667
	Batch 150, Validation accuracy 0.884667
	Batch 200, Validation accuracy 0.832
	Batch 250, Validation accuracy 0.928
	Batch 300, Validation accuracy 0.893
	Batch 350, Validation accuracy 0.700412
	Batch 400, Validation accuracy 0.682667
	Batch 450, Validation accuracy 0.805667
	Batch 500, Validation accuracy 0.855667
	Batch 550, Validation accuracy 0.857333
	Batch 600, Validation accuracy 0.793667
	Batch 650, Validation accuracy 0.889667
	Batch 700, Validation accuracy 0.919667
	Batch 750, Validation accuracy 0.912
	Batch 800, Validation accuracy 0.966
	Batch 850, Validation accuracy 0.977667
	Batch 900, Validation accuracy 0.978333
	Batch 950, Validation accuracy 0.976
	Batch 1000, Validation accuracy 0.980333
	Batch 1050, Validation accuracy 0.959
	Batch 1100, Validation accuracy 0.938667
	Batch 1150, Validation accuracy 0.946333
	Batch 1200, Validation accuracy 0.941
	Batch 1250, Validation accuracy 0.992333
	Batch 1300, Validation accuracy 0.997667
	Batch 1350, Validation accuracy 0.993667
	Batch 1400, Validation accuracy 0.993667
	Batch 1450, Validation accuracy 0.973667
	Batch 1500, Validation accuracy 0.975
	Batch 1550, Validation accuracy 0.977
	Batch 1600, Validation accuracy 0.974
	Batch 1650, Validation accuracy 0.979
	Batch 1700, Validation accuracy 0.987667
	Batch 1750, Validation accuracy 0.97381
	Batch 1800, Validation accuracy 0.998
	Batch 1850, Validation accuracy 0.999
	Batch 1900, Validation accuracy 0.999
Epoch 13
	Batch 0, Validation accuracy 0.998667
	Batch 50, Validation accuracy 0.998
	Batch 100, Validation accuracy 0.996625
	Batch 150, Validation accuracy 0.99
	Batch 200, Validation accuracy 0.980667
	Batch 250, Validation accuracy 0.992667
	Batch 300, Validation accuracy 0.980333
	Batch 350, Validation accuracy 0.955
	Batch 400, Validation accuracy 0.952667
	Batch 450, Validation accuracy 0.814
	Batch 500, Validation accuracy 0.946333
	Batch 550, Validation accuracy 0.945333
	Batch 600, Validation accuracy 0.911667
	Batch 650, Validation accuracy 0.963333
	Batch 700, Validation accuracy 0.960667
	Batch 750, Validation accuracy 0.981333
	Batch 800, Validation accuracy 0.971
	Batch 850, Validation accuracy 0.956667
	Batch 900, Validation accuracy 0.949333
	Batch 950, Validation accuracy 0.935
	Batch 1000, Validation accuracy 0.936667
	Batch 1050, Validation accuracy 0.956333
	Batch 1100, Validation accuracy 0.969333
	Batch 1150, Validation accuracy 0.986333
	Batch 1200, Validation accuracy 0.996
	Batch 1250, Validation accuracy 0.996333
	Batch 1300, Validation accuracy 0.981
	Batch 1350, Validation accuracy 0.975667
	Batch 1400, Validation accuracy 0.986667
	Batch 1450, Validation accuracy 0.985667
	Batch 1500, Validation accuracy 0.987667
	Batch 1550, Validation accuracy 0.992333
	Batch 1600, Validation accuracy 0.990409
	Batch 1650, Validation accuracy 0.998333
	Batch 1700, Validation accuracy 0.998667
	Batch 1750, Validation accuracy 0.999333
	Batch 1800, Validation accuracy 0.99925
	Batch 1850, Validation accuracy 0.998333
	Batch 1900, Validation accuracy 0.999
Epoch 14
	Batch 0, Validation accuracy 0.999
	Batch 50, Validation accuracy 0.998
	Batch 100, Validation accuracy 0.999667
	Batch 150, Validation accuracy 0.997333
	Batch 200, Validation accuracy 0.998333
	Batch 250, Validation accuracy 0.984
	Batch 300, Validation accuracy 0.975333
	Batch 350, Validation accuracy 0.988
	Batch 400, Validation accuracy 0.966667
	Batch 450, Validation accuracy 0.684667
	Batch 500, Validation accuracy 0.947667
	Batch 550, Validation accuracy 0.978333
	Batch 600, Validation accuracy 0.929
	Batch 650, Validation accuracy 0.993667
	Batch 700, Validation accuracy 0.994
	Batch 750, Validation accuracy 0.997667
	Batch 800, Validation accuracy 0.996667
	Batch 850, Validation accuracy 0.992
	Batch 900, Validation accuracy 0.992333
	Batch 950, Validation accuracy 0.995667
	Batch 1000, Validation accuracy 0.992
	Batch 1050, Validation accuracy 0.982
	Batch 1100, Validation accuracy 0.996667
	Batch 1150, Validation accuracy 0.972
	Batch 1200, Validation accuracy 0.967333
	Batch 1250, Validation accuracy 0.994667
	Batch 1300, Validation accuracy 0.980333
	Batch 1350, Validation accuracy 0.979333
	Batch 1400, Validation accuracy 0.968
	Batch 1450, Validation accuracy 0.987459
	Batch 1500, Validation accuracy 0.999
	Batch 1550, Validation accuracy 1
	Batch 1600, Validation accuracy 0.998333
	Batch 1650, Validation accuracy 0.999
	Batch 1700, Validation accuracy 1
	Batch 1750, Validation accuracy 0.999
	Batch 1800, Validation accuracy 0.999
	Batch 1850, Validation accuracy 0.998
	Batch 1900, Validation accuracy 0.999
Epoch 15
	Batch 0, Validation accuracy 0.998
	Batch 50, Validation accuracy 0.999
	Batch 100, Validation accuracy 0.998
	Batch 150, Validation accuracy 0.998333
	Batch 200, Validation accuracy 0.999
	Batch 250, Validation accuracy 0.999
	Batch 300, Validation accuracy 0.999333
	Batch 350, Validation accuracy 0.997667
	Batch 400, Validation accuracy 0.998667
	Batch 450, Validation accuracy 0.997
	Batch 500, Validation accuracy 0.716
	Batch 550, Validation accuracy 0.978667
	Batch 600, Validation accuracy 0.986667
	Batch 650, Validation accuracy 0.991333
	Batch 700, Validation accuracy 0.993
	Batch 750, Validation accuracy 0.980667
	Batch 800, Validation accuracy 0.993
	Batch 850, Validation accuracy 0.999
	Batch 900, Validation accuracy 0.987
	Batch 950, Validation accuracy 1
	Batch 1000, Validation accuracy 0.855
	Batch 1050, Validation accuracy 0.980333
